ID,absolute_clone_path,local_clone_path,source
PilzDE/pilz_robots,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/PilzDE_____pilz_robots,./cloned_repos/PilzDE_____pilz_robots,github
PINTO0309/zumo32u4,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/PINTO0309_____zumo32u4,./cloned_repos/PINTO0309_____zumo32u4,github
Pitt-RAS/iarc7_vision,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/Pitt-RAS_____iarc7_vision,./cloned_repos/Pitt-RAS_____iarc7_vision,github
PR2/pr2_apps,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/PR2_____pr2_apps,./cloned_repos/PR2_____pr2_apps,github
PR2/pr2_common_actions,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/PR2_____pr2_common_actions,./cloned_repos/PR2_____pr2_common_actions,github
PR2/pr2_controllers,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/PR2_____pr2_controllers,./cloned_repos/PR2_____pr2_controllers,github
PR2/pr2_mechanism,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/PR2_____pr2_mechanism,./cloned_repos/PR2_____pr2_mechanism,github
PR2/pr2_navigation,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/PR2_____pr2_navigation,./cloned_repos/PR2_____pr2_navigation,github
PR2/pr2_plugs,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/PR2_____pr2_plugs,./cloned_repos/PR2_____pr2_plugs,github
PR2/pr2_robot,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/PR2_____pr2_robot,./cloned_repos/PR2_____pr2_robot,github
PR2/pr2_self_test,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/PR2_____pr2_self_test,./cloned_repos/PR2_____pr2_self_test,github
prajankya/AgriMapper,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/prajankya_____AgriMapper,./cloned_repos/prajankya_____AgriMapper,github
projectcosys/cosys-ros-pkg,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/projectcosys_____cosys-ros-pkg,./cloned_repos/projectcosys_____cosys-ros-pkg,bitbucket
PX4/px4_ros_com,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/PX4_____px4_ros_com,./cloned_repos/PX4_____px4_ros_com,github
RCPRG-ros-pkg/elektron_kinectbot,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/RCPRG-ros-pkg_____elektron_kinectbot,./cloned_repos/RCPRG-ros-pkg_____elektron_kinectbot,github
RCPRG-ros-pkg/elektron_robot,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/RCPRG-ros-pkg_____elektron_robot,./cloned_repos/RCPRG-ros-pkg_____elektron_robot,github
redbirdrobotics/ros_redbird_m7a,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/redbirdrobotics_____ros_redbird_m7a,./cloned_repos/redbirdrobotics_____ros_redbird_m7a,github
ridgeback/ridgeback,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/ridgeback_____ridgeback,./cloned_repos/ridgeback_____ridgeback,github
ridgeback/ridgeback_robot,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/ridgeback_____ridgeback_robot,./cloned_repos/ridgeback_____ridgeback_robot,github
RightHandRobotics/reflex-ros-pkg,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/RightHandRobotics_____reflex-ros-pkg,./cloned_repos/RightHandRobotics_____reflex-ros-pkg,github
RIVeR-Lab/wpi_jaco,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/RIVeR-Lab_____wpi_jaco,./cloned_repos/RIVeR-Lab_____wpi_jaco,github
roadnarrows-robotics/hekateros,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/roadnarrows-robotics_____hekateros,./cloned_repos/roadnarrows-robotics_____hekateros,github
robotics-upo/upo_robot_navigation,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/robotics-upo_____upo_robot_navigation,./cloned_repos/robotics-upo_____upo_robot_navigation,github
ros-aldebaran/romeo_robot,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/ros-aldebaran_____romeo_robot,./cloned_repos/ros-aldebaran_____romeo_robot,github
ros-controls/ros_controllers,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/ros-controls_____ros_controllers,./cloned_repos/ros-controls_____ros_controllers,github
ros-drivers/audio_common,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/ros-drivers_____audio_common,./cloned_repos/ros-drivers_____audio_common,github
ros-industrial-consortium/descartes,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/ros-industrial-consortium_____descartes,./cloned_repos/ros-industrial-consortium_____descartes,github
ros-industrial-consortium/trajopt_ros,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/ros-industrial-consortium_____trajopt_ros,./cloned_repos/ros-industrial-consortium_____trajopt_ros,github
ros-industrial/abb,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/ros-industrial_____abb,./cloned_repos/ros-industrial_____abb,github
ros-industrial/abb_experimental,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/ros-industrial_____abb_experimental,./cloned_repos/ros-industrial_____abb_experimental,github
ros-industrial/fanuc,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/ros-industrial_____fanuc,./cloned_repos/ros-industrial_____fanuc,github
ros-industrial/fanuc_experimental,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/ros-industrial_____fanuc_experimental,./cloned_repos/ros-industrial_____fanuc_experimental,github
ros-industrial/industrial_core,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/ros-industrial_____industrial_core,./cloned_repos/ros-industrial_____industrial_core,github
ros-industrial/industrial_moveit,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/ros-industrial_____industrial_moveit,./cloned_repos/ros-industrial_____industrial_moveit,github
ros-industrial/kuka_experimental,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/ros-industrial_____kuka_experimental,./cloned_repos/ros-industrial_____kuka_experimental,github
ros-industrial/motoman,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/ros-industrial_____motoman,./cloned_repos/ros-industrial_____motoman,github
ros-industrial/staubli_experimental,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/ros-industrial_____staubli_experimental,./cloned_repos/ros-industrial_____staubli_experimental,github
ros-industrial/universal_robot,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/ros-industrial_____universal_robot,./cloned_repos/ros-industrial_____universal_robot,github
ros-interactive-manipulation/pr2_object_manipulation,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/ros-interactive-manipulation_____pr2_object_manipulation,./cloned_repos/ros-interactive-manipulation_____pr2_object_manipulation,github
ros-naoqi/naoqi_bridge,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/ros-naoqi_____naoqi_bridge,./cloned_repos/ros-naoqi_____naoqi_bridge,github
ros-perception/image_common,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/ros-perception_____image_common,./cloned_repos/ros-perception_____image_common,github
ros-perception/slam_gmapping,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/ros-perception_____slam_gmapping,./cloned_repos/ros-perception_____slam_gmapping,github
ros-planning/moveit_pr2,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/ros-planning_____moveit_pr2,./cloned_repos/ros-planning_____moveit_pr2,github
ros-planning/navigation_experimental,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/ros-planning_____navigation_experimental,./cloned_repos/ros-planning_____navigation_experimental,github
ros/bond_core,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/ros_____bond_core,./cloned_repos/ros_____bond_core,github
ros/diagnostics,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/ros_____diagnostics,./cloned_repos/ros_____diagnostics,github
ros/dynamic_reconfigure,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/ros_____dynamic_reconfigure,./cloned_repos/ros_____dynamic_reconfigure,github
ros/executive_smach,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/ros_____executive_smach,./cloned_repos/ros_____executive_smach,github
ros/nodelet_core,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/ros_____nodelet_core,./cloned_repos/ros_____nodelet_core,github
rosjava/android_core,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/rosjava_____android_core,./cloned_repos/rosjava_____android_core,github
rospilot/rospilot,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/rospilot_____rospilot,./cloned_repos/rospilot_____rospilot,github
rst-tu-dortmund/pxpincher_ros,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/rst-tu-dortmund_____pxpincher_ros,./cloned_repos/rst-tu-dortmund_____pxpincher_ros,github
rt-net/crane_x7_ros,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/rt-net_____crane_x7_ros,./cloned_repos/rt-net_____crane_x7_ros,github
sbrodeur/ros-icreate-bbb,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/sbrodeur_____ros-icreate-bbb,./cloned_repos/sbrodeur_____ros-icreate-bbb,github
ScazLab/baxter_tictactoe,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/ScazLab_____baxter_tictactoe,./cloned_repos/ScazLab_____baxter_tictactoe,github
ScazLab/ros_speech2text,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/ScazLab_____ros_speech2text,./cloned_repos/ScazLab_____ros_speech2text,github
seed-solutions/aero-ros-pkg,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/seed-solutions_____aero-ros-pkg,./cloned_repos/seed-solutions_____aero-ros-pkg,github
shadow-robot/sr-teleop,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/shadow-robot_____sr-teleop,./cloned_repos/shadow-robot_____sr-teleop,github
sigproc/qbo_sigproc,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/sigproc_____qbo_sigproc,./cloned_repos/sigproc_____qbo_sigproc,github
simlabrobotics/allegro_hand_ros,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/simlabrobotics_____allegro_hand_ros,./cloned_repos/simlabrobotics_____allegro_hand_ros,github
sjtu-automatic-maritime-system/Sailboat-Ros,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/sjtu-automatic-maritime-system_____Sailboat-Ros,./cloned_repos/sjtu-automatic-maritime-system_____Sailboat-Ros,github
skasperski/navigation_2d,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/skasperski_____navigation_2d,./cloned_repos/skasperski_____navigation_2d,github
sonia-auv/proc_image_processing,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/sonia-auv_____proc_image_processing,./cloned_repos/sonia-auv_____proc_image_processing,github
sourishg/jackal-navigation,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/sourishg_____jackal-navigation,./cloned_repos/sourishg_____jackal-navigation,github
Soy-Robotics/roch,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/Soy-Robotics_____roch,./cloned_repos/Soy-Robotics_____roch,github
sterlingm/ramp,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/sterlingm_____ramp,./cloned_repos/sterlingm_____ramp,github
super-owesome/bobble_controllers,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/super-owesome_____bobble_controllers,./cloned_repos/super-owesome_____bobble_controllers,github
Texas-Aerial-Robotics/Controls-ROS,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/Texas-Aerial-Robotics_____Controls-ROS,./cloned_repos/Texas-Aerial-Robotics_____Controls-ROS,github
theconstructcore/people,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/theconstructcore_____people,./cloned_repos/theconstructcore_____people,bitbucket
tork-a/jog_control,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/tork-a_____jog_control,./cloned_repos/tork-a_____jog_control,github
tork-a/roswww,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/tork-a_____roswww,./cloned_repos/tork-a_____roswww,github
tork-a/rtmros_nextage,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/tork-a_____rtmros_nextage,./cloned_repos/tork-a_____rtmros_nextage,github
tork-a/spur,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/tork-a_____spur,./cloned_repos/tork-a_____spur,github
traclabs/trac_ik,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/traclabs_____trac_ik,./cloned_repos/traclabs_____trac_ik,bitbucket
tu-darmstadt-ros-pkg/hector_calibration,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/tu-darmstadt-ros-pkg_____hector_calibration,./cloned_repos/tu-darmstadt-ros-pkg_____hector_calibration,github
tu-darmstadt-ros-pkg/hector_localization,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/tu-darmstadt-ros-pkg_____hector_localization,./cloned_repos/tu-darmstadt-ros-pkg_____hector_localization,github
tu-darmstadt-ros-pkg/hector_navigation,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/tu-darmstadt-ros-pkg_____hector_navigation,./cloned_repos/tu-darmstadt-ros-pkg_____hector_navigation,github
tu-darmstadt-ros-pkg/hector_slam,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/tu-darmstadt-ros-pkg_____hector_slam,./cloned_repos/tu-darmstadt-ros-pkg_____hector_slam,github
tu-darmstadt-ros-pkg/hector_vision,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/tu-darmstadt-ros-pkg_____hector_vision,./cloned_repos/tu-darmstadt-ros-pkg_____hector_vision,github
tum-phoenix/phx_quadrocopter_ros,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/tum-phoenix_____phx_quadrocopter_ros,./cloned_repos/tum-phoenix_____phx_quadrocopter_ros,github
turtlebot/turtlebot,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/turtlebot_____turtlebot,./cloned_repos/turtlebot_____turtlebot,github
turtlebot/turtlebot_interactions,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/turtlebot_____turtlebot_interactions,./cloned_repos/turtlebot_____turtlebot_interactions,github
tuw-robotics/tuw_marker_detection,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/tuw-robotics_____tuw_marker_detection,./cloned_repos/tuw-robotics_____tuw_marker_detection,github
UBC-Snowbots/Snowflake,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/UBC-Snowbots_____Snowflake,./cloned_repos/UBC-Snowbots_____Snowflake,github
UBC-Thunderbots/Software,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/UBC-Thunderbots_____Software,./cloned_repos/UBC-Thunderbots_____Software,github
UbiquityRobotics/fiducials,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/UbiquityRobotics_____fiducials,./cloned_repos/UbiquityRobotics_____fiducials,github
UbiquityRobotics/magni_robot,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/UbiquityRobotics_____magni_robot,./cloned_repos/UbiquityRobotics_____magni_robot,github
UbiquityRobotics/ubiquity_launches,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/UbiquityRobotics_____ubiquity_launches,./cloned_repos/UbiquityRobotics_____ubiquity_launches,github
uf-mil-archive/PropaGator,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/uf-mil-archive_____PropaGator,./cloned_repos/uf-mil-archive_____PropaGator,github
uf-mil/mil_common,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/uf-mil_____mil_common,./cloned_repos/uf-mil_____mil_common,github
uos/calvin_robot,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/uos_____calvin_robot,./cloned_repos/uos_____calvin_robot,github
utexas-bwi/bwi,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/utexas-bwi_____bwi,./cloned_repos/utexas-bwi_____bwi,github
utexas-bwi/bwi_common,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/utexas-bwi_____bwi_common,./cloned_repos/utexas-bwi_____bwi_common,github
utexas-bwi/segbot,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/utexas-bwi_____segbot,./cloned_repos/utexas-bwi_____segbot,github
UTNuclearRoboticsPublic/jog_arm,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/UTNuclearRoboticsPublic_____jog_arm,./cloned_repos/UTNuclearRoboticsPublic_____jog_arm,github
uu-isrc-robotics/uu-isrc-robotics-pr2-pkgs,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/uu-isrc-robotics_____uu-isrc-robotics-pr2-pkgs,./cloned_repos/uu-isrc-robotics_____uu-isrc-robotics-pr2-pkgs,github
uwreact/frc_control,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/uwreact_____frc_control,./cloned_repos/uwreact_____frc_control,github
vortexntnu/rov-control,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/vortexntnu_____rov-control,./cloned_repos/vortexntnu_____rov-control,github
warp1337/opencv_facerecognizer,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/warp1337_____opencv_facerecognizer,./cloned_repos/warp1337_____opencv_facerecognizer,github
wg-perception/object_recognition_ros,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/wg-perception_____object_recognition_ros,./cloned_repos/wg-perception_____object_recognition_ros,github
wg-perception/people,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/wg-perception_____people,./cloned_repos/wg-perception_____people,github
whoidsl/ds_base,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/whoidsl_____ds_base,./cloned_repos/whoidsl_____ds_base,bitbucket
whoidsl/ds_nav,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/whoidsl_____ds_nav,./cloned_repos/whoidsl_____ds_nav,bitbucket
whoidsl/ds_sensors,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/whoidsl_____ds_sensors,./cloned_repos/whoidsl_____ds_sensors,bitbucket
xaxxontech/oculusprime_ros,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/xaxxontech_____oculusprime_ros,./cloned_repos/xaxxontech_____oculusprime_ros,github
yijiangh/choreo,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/yijiangh_____choreo,./cloned_repos/yijiangh_____choreo,github
youbot/youbot-ros-pkg,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/youbot_____youbot-ros-pkg,./cloned_repos/youbot_____youbot-ros-pkg,github
yujinrobot/kobuki,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/yujinrobot_____kobuki,./cloned_repos/yujinrobot_____kobuki,github
yujinrobot/yujin_ocs,/home/ivano/Documents/ROS_CMU/October_2020_repos/cloned_repos/yujinrobot_____yujin_ocs,./cloned_repos/yujinrobot_____yujin_ocs,github